source,target,value,count,step
other0,1BYRUMxTwJ3jWBsSiqwLN4yw8MVsSHYNa2,43053,1,1
other0,1KW2tjj9b7H9c4avaHp3S4gsqDP59cnAbp,1921800,1,1
other0,34qzg9R3eo41FChFxG4XYre5Ap6zYsbBg7,1004457,1,1
other0,other1,482402,1,1
other0,35EsaU1mb5zmrdcJqotCsPG5aWCkpEXGVi,1280749,1,1
other0,35EsaU1mb5zmrdcJqotCsPG5aWCkpEXGVi,1280749,1,1
other0,1P5XBKV6JSP4qgEzxDkWivR7vm1py9mW1R,4839667212,1,1
other0,bc1q2pcu27nskauvwv09ldvyulpzrw4dskussm4t08,1442567786,1,1
other0,bc1qgyjclf8mdk6tc8fqc3r0smsn548v3elfdj3kg7,968331335,1,1
other0,other1,2995740001,42,1
other0,3PpZN6sTre3aMwJx85xrmN8DV2ZHaqSWuS,992476,1,1
bc1q6w2yfm9p69luekemn33rjjgzewz382cu6dfa5t,1EujD17BpRzKRrPVxEZUYTMf8r5KdMX4BP,800000000,1,1
bc1q6w2yfm9p69luekemn33rjjgzewz382cu6dfa5t,1Nk1rbgoAmV2Sohke6kNwx9aSaWuwvYSya,460000000,1,1
bc1q6w2yfm9p69luekemn33rjjgzewz382cu6dfa5t,14qnC2Uc76gar3fpiqfo6XnYDZ8pdjzAsG,400000000,2,1
bc1q6w2yfm9p69luekemn33rjjgzewz382cu6dfa5t,other1,27563315,7,1
other0,1PhDi6HVrRGHzQDaVWfUN5LEYAkF6uHg9x,30551908,3,1
other0,15TQ3f1tRmcE5HWJGFPdPiXdBoah5WVSBY,16480457,11,1
other0,1LDZ4nYtgtaD8YGtRTverL1YBzYeBUF5dw,3215221,6,1
other0,other1,8139336,16,1
other0,bc1q653uyl4vs5ecxwrgck79hvkjstmzdcs4ka8genz8eysw83l385pq8eyy46,500475156,1,1
other0,bc1qgw7ju85ds9cw49kx6tw54cd7l5r5m8d2e0jgnt,21118846,1,1
other0,17F2Xf3esob465xkF3Kp4NoXp8Brxi5bPP,3760000,1,1
other0,other1,7430528,39,1
3KjiF9vJGkysUJSZqbBeZPQ6qGb1Ku1AJ8,3Hnb9SNDsfbTLHyuEQC3ViPDyMDyQx2Vgg,3879038,1,1
other0,other1,111657109,21,1
1GK6PStuaoPGS43QufmbfpKBYfpdkX61tZ,3DqpEbxiaRLhULaewkCcwoEgHARMMNyuoh,323745043,1,1
other0,other1,111657109,21,1
other0,bc1qvagq4r3dpy6q5nsezv068lkxffvqtv6jqk7me4,150000000,1,1
bc1q8ls2sy8cu9xcss8kgys9va7uqal5a672teawtw,34j6pDGheQP2kjgvL4wDiqQ2iUH9Hdd3qx,522402,1,1
3Nwg3gZUDbctRR3RgzFiV69PPmDbGndXEt,bc1q56e69mcw9j0zpz4rkdetfnwzp7rxq3z06vp3hy,685979817,1,1
34prTGfYwnp3RpcE2sqHd7674tEjumN9gc,bc1qf3y0k97mmqe2tu8erv5r87mrq6t2hkws9me03g,102495620,1,1
34prTGfYwnp3RpcE2sqHd7674tEjumN9gc,bc1qj5fr2vqp0ush4n8aphx3hx96rdah7q33chhygv,98134327,1,1
34prTGfYwnp3RpcE2sqHd7674tEjumN9gc,bc1q8te7uqzhrxajppsa5aftujv96f6c2xeexwc4ny,78320115,1,1
34prTGfYwnp3RpcE2sqHd7674tEjumN9gc,other1,379082771,32,1
bc1q53wfuuqmfukgxcw88s52xfgjuzj0dtp0cqg2ew,bc1qs8l2pd8u0jnnfe6pfeuhqeazfaax382ae7y6u9,61082032,1,1
bc1q53wfuuqmfukgxcw88s52xfgjuzj0dtp0cqg2ew,175qp6CPkyUdQQtZxmvwp9gr9geqrSiRPw,6100590,1,1
bc1q53wfuuqmfukgxcw88s52xfgjuzj0dtp0cqg2ew,1N6Lgy8JUQS7bWfdj2CD85DEfskTJP3o7Y,924062,1,1
bc1q53wfuuqmfukgxcw88s52xfgjuzj0dtp0cqg2ew,other1,9199838,42,1
other0,323XJ1eRKncJZQ7ZK9Wc7qVfAuohqF1dmy,186000000,1,1
other0,other1,194541316,19,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3H6YtdvRc38ntzZWX5d9RbUMdP3sSc8BMz,39899980522,1,1
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,355r45w61hEBBjsJoyEbEeYb7H2QWh9kRR,9899936698,1,1
